@relation AllCandidas_TRAIN

@attribute TGS826 numeric
@attribute TGS2611 numeric
@attribute TGS2603 numeric
@attribute TGS813 numeric
@attribute TGS822 numeric
@attribute TGS2602 numeric
@attribute TGS823 numeric
@attribute temperatura numeric
@attribute pressao numeric
@attribute umidade numeric
@attribute culture_day {1,2,3}
@attribute class {1,2,3,4,5,6}

@data
81590,7249,8187,40980,2313,16250,7768,63.56,99.79,11.16,1,6
25770,46570,21640,29470,333.1,1104,3311,61.73,99.95,10.95,2,3
50280,28040,29510,33390,531,2061,5340,61.93,54.39,5.84,2,1
22740,52110,18540,25420,257.1,796.6,2643,63.81,99.95,11.59,2,1
47020,34260,28880,30710,398.7,1355,4494,61.53,54,6.38,1,1
36300,29640,28640,17790,427.3,1461,4573,59.41,55.56,5.97,2,4
25380,46840,21460,29330,328.9,1089,3276,61.78,100.15,11.04,2,3
105500,7305,6014,66780,3440,26490,7774,53.52,54.47,8.64,1,6
45120,34280,28490,24820,380.6,1279,4356,61.87,54,6.41,1,1
41030,33080,28540,20400,361.3,1165,4232,61.28,54.35,6.39,1,1
32320,46450,21190,45060,370.3,1349,3491,61.01,99.83,12.97,2,5
90800,7305,6026,67710,3262,25260,7719,59.75,100.19,12.99,1,6
24730,37580,17910,11250,240.1,710.6,2489,63.27,54.43,5.97,1,2
82290,7277,6451,45680,2643,19920,7837,63.81,99.91,11.22,1,6
56180,34020,29020,28550,406.6,1454,4621,59.51,53.92,7.28,1,1
15850,56000,12200,21260,199.8,660.5,1798,64.65,100.07,11.56,1,2
46580,27110,26510,20270,579.9,2351,5185,60.81,55.52,5.98,2,2
9086,54450,11400,18140,191,605.5,1665,62.14,72.35,8.75,2,2
41220,29830,28830,21090,438.9,1533,4682,61.56,54.43,5.98,2,1
23250,52940,18830,28210,259.4,809,2690,63.82,99.87,11.67,2,1
42770,29250,29970,32680,498.6,1801,5128,58.38,55.48,6.12,2,4
26390,45640,21880,27670,333.1,1110,3344,61.81,99.64,10.99,2,3
18320,30580,19180,30370,521,2118,3899,61.82,72.9,8.3,2,3
28060,55290,17850,33880,249.4,761.4,2531,62.82,100.03,12.2,1,5
15660,59590,16760,55080,234.2,797,2437,61.07,100.22,10.55,2,4
49070,29280,28940,30020,507.9,1837,5021,61.31,54.66,5.83,1,5
94070,7305,6003,72540,3395,28670,7734,56.53,100.38,14.81,1,6
