@relation AllCandidas_TRAIN_V2

@attribute TGS826 numeric
@attribute TGS2611 numeric
@attribute TGS2603 numeric
@attribute TGS813 numeric
@attribute TGS822 numeric
@attribute TGS2602 numeric
@attribute TGS823 numeric
@attribute culture_day numeric
@attribute class numeric

@data
59440.0,18920.0,24900.0,23040.0,789.7,3790.0,6168.0,2,3
82940.0,7298.0,14290.0,43370.0,1814.0,10590.0,7286.0,1,6
50840.0,37760.0,25790.0,24540.0,353.4,1146.0,3869.0,1,1
35710.0,31210.0,27720.0,17130.0,346.2,1155.0,4121.0,1,2
20130.0,47630.0,18430.0,17800.0,245.9,766.0,2602.0,2,4
28920.0,57180.0,17780.0,37290.0,225.4,676.3,2444.0,1,1
14270.0,56750.0,14370.0,24400.0,225.4,652.6,2035.0,2,2
45080.0,28230.0,30110.0,36590.0,529.1,1959.0,5318.0,2,4
22600.0,56100.0,17830.0,32530.0,243.0,684.3,2457.0,1,5
17870.0,52480.0,17380.0,22220.0,230.1,706.1,2423.0,2,4
13290.0,55640.0,11200.0,17330.0,169.6,510.1,1562.0,1,2
23660.0,54410.0,18720.0,31130.0,255.9,739.3,2611.0,1,5
29230.0,47480.0,20860.0,24620.0,287.8,911.3,3027.0,1,5
87730.0,3814.0,9034.0,34290.0,2349.0,15050.0,7700.0,2,6
25940.0,50840.0,20130.0,28550.0,277.2,894.8,2921.0,2,1
67070.0,13920.0,26320.0,31460.0,983.4,4049.0,6633.0,2,3
12390.0,60680.0,15040.0,41240.0,207.9,690.1,2144.0,2,4
80800.0,7207.0,12410.0,39120.0,2122.0,14060.0,7712.0,1,6
39950.0,30080.0,28460.0,19440.0,426.1,1489.0,4583.0,2,1
47170.0,23920.0,28270.0,25330.0,620.3,2369.0,5474.0,2,3
60060.0,22230.0,25560.0,28950.0,726.3,3455.0,6013.0,2,5
23290.0,52500.0,18840.0,27290.0,259.4,809.0,2693.0,2,1
50980.0,32660.0,29270.0,36740.0,440.8,1571.0,4781.0,1,1
30360.0,42700.0,23390.0,28060.0,369.7,1236.0,3661.0,2,3
63240.0,20790.0,29940.0,35130.0,723.7,2641.0,6006.0,1,5
104400.0,7305.0,6003.0,56190.0,3925.0,31620.0,7791.0,1,6
45960.0,33300.0,28510.0,21560.0,393.9,1338.0,4426.0,1,1
25490.0,46420.0,21390.0,27520.0,327.7,1073.0,3254.0,2,3
36100.0,29430.0,28610.0,18060.0,427.9,1442.0,4554.0,2,4
13670.0,59700.0,14290.0,30630.0,207.9,628.5,2007.0,2,4
39330.0,30010.0,27900.0,16780.0,421.2,1471.0,4489.0,2,1
10390.0,58770.0,12840.0,25170.0,189.3,592.1,1813.0,2,4
86950.0,7277.0,6014.0,47440.0,3064.0,27330.0,7891.0,2,6
21010.0,62280.0,14150.0,42930.0,193.9,625.5,1988.0,1,1
20390.0,57140.0,17290.0,34060.0,242.4,742.0,2448.0,2,1
11860.0,59880.0,14450.0,33570.0,202.7,646.0,2040.0,2,4
17530.0,47360.0,15720.0,40260.0,258.9,1182.0,2655.0,1,1
87550.0,7249.0,6026.0,42690.0,3124.0,25360.0,7920.0,2,6
72780.0,10690.0,20610.0,29890.0,1218.0,5768.0,6689.0,1,6
14350.0,43220.0,15670.0,45770.0,325.9,1531.0,2940.0,2,1
18180.0,60830.0,14590.0,32130.0,196.8,536.2,1955.0,1,1
91650.0,7305.0,6020.0,69060.0,3273.0,25700.0,7721.0,1,6
58750.0,11360.0,24460.0,22950.0,1088.0,4436.0,6579.0,2,3
22550.0,48210.0,20150.0,22200.0,262.4,833.5,2866.0,2,4
7651.0,59010.0,8144.0,17650.0,148.9,446.9,1178.0,1,2
55880.0,23910.0,28590.0,28290.0,614.6,2359.0,5509.0,1,5
38300.0,39890.0,24530.0,31370.0,426.1,1541.0,4112.0,2,5
34470.0,31130.0,27270.0,15100.0,334.9,1118.0,4025.0,1,2
38960.0,29090.0,29280.0,22630.0,460.4,1572.0,4786.0,2,4
12360.0,57650.0,13210.0,25210.0,188.1,619.8,1876.0,2,1
43430.0,29920.0,29340.0,25150.0,454.3,1602.0,4825.0,2,1
15990.0,55170.0,16180.0,24190.0,218.4,662.2,2247.0,2,4
